Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY,Performance CrdR,Performance Touches,Performance Tkl,Performance Int,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries_x,Carries PrgC_x,Take-Ons Att_x,Take-Ons Succ_x,Report,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att_y,Take-Ons Succ_y,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries_y,Carries TotDist,Carries PrgDist,Carries PrgC_y,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,team,player_name,player_id
2024-08-17,Sat,Matchweek 1,Away,W 2–1,Aston Villa,West Ham,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,37.0,70.3,0.0,28.0,0.0,0.0,0.0,Match Report,26.0,37.0,70.3,879.0,587.0,3.0,3.0,100.0,12.0,13.0,92.3,11.0,21.0,52.4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,31.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,39.0,1.0,0.0,0.0,40.0,0.0,0.0,,0.0,,28.0,146.0,84.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa,Emiliano-Martinez,7956236f
2024-08-24,Sat,Matchweek 2,Home,L 0–2,Aston Villa,Arsenal,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,40.0,82.5,0.0,27.0,0.0,0.0,0.0,Match Report,33.0,40.0,82.5,810.0,436.0,7.0,7.0,100.0,18.0,18.0,100.0,8.0,15.0,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,31.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,37.0,41.0,1.0,0.0,0.0,42.0,0.0,0.0,,0.0,,27.0,76.0,32.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Aston Villa,Emiliano-Martinez,7956236f
2024-08-31,Sat,Matchweek 3,Away,W 2–1,Aston Villa,Leicester City,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,38.0,81.6,0.0,23.0,0.0,1.0,1.0,Match Report,31.0,38.0,81.6,1080.0,737.0,4.0,4.0,100.0,11.0,12.0,91.7,16.0,22.0,72.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,28.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,30.0,39.0,0.0,0.0,0.0,39.0,1.0,1.0,100.0,0.0,0.0,23.0,101.0,78.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Aston Villa,Emiliano-Martinez,7956236f
2024-09-14,Sat,Matchweek 4,Home,W 3–2,Aston Villa,Everton,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,90.9,0.0,17.0,0.0,0.0,0.0,Match Report,20.0,22.0,90.9,575.0,395.0,1.0,1.0,100.0,14.0,14.0,100.0,5.0,6.0,83.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,16.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0,,0.0,,17.0,92.0,72.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa,Emiliano-Martinez,7956236f
2024-09-21,Sat,Matchweek 5,Home,W 3–1,Aston Villa,Wolves,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0,86.7,0.0,23.0,0.0,0.0,0.0,Match Report,26.0,30.0,86.7,556.0,297.0,4.0,4.0,100.0,19.0,19.0,100.0,3.0,7.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,18.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,,0.0,,23.0,96.0,49.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Aston Villa,Emiliano-Martinez,7956236f
2024-09-29,Sun,Matchweek 6,Away,D 2–2,Aston Villa,Ipswich Town,Y*,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,38.0,81.6,0.0,21.0,0.0,0.0,0.0,Match Report,31.0,38.0,81.6,899.0,541.0,3.0,3.0,100.0,19.0,19.0,100.0,9.0,16.0,56.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,28.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,30.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,,0.0,,21.0,115.0,77.0,0.0,0.0,0.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,Emiliano-Martinez,7956236f
2024-10-06,Sun,Matchweek 7,Home,D 0–0,Aston Villa,Manchester Utd,Y*,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,35.0,77.1,0.0,23.0,0.0,0.0,0.0,Match Report,27.0,35.0,77.1,605.0,311.0,6.0,6.0,100.0,16.0,17.0,94.1,5.0,12.0,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,32.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,25.0,37.0,0.0,0.0,0.0,37.0,0.0,0.0,,0.0,,23.0,125.0,80.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,Emiliano-Martinez,7956236f
2024-10-19,Sat,Matchweek 8,Away,W 3–1,Aston Villa,Fulham,Y*,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,33.0,87.9,0.0,20.0,0.0,0.0,0.0,Match Report,29.0,33.0,87.9,662.0,347.0,5.0,5.0,100.0,20.0,20.0,100.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,29.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,34.0,1.0,0.0,0.0,35.0,0.0,0.0,,0.0,,20.0,109.0,22.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,Emiliano-Martinez,7956236f
2024-10-26,Sat,Matchweek 9,Home,D 1–1,Aston Villa,Bournemouth,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,52.0,76.9,0.0,29.0,0.0,0.0,0.0,Match Report,40.0,52.0,76.9,1038.0,656.0,2.0,2.0,100.0,32.0,32.0,100.0,6.0,18.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,41.0,11.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,32.0,55.0,0.0,0.0,0.0,55.0,0.0,0.0,,0.0,,29.0,210.0,122.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa,Emiliano-Martinez,7956236f
2024-11-03,Sun,Matchweek 10,Away,L 1–4,Aston Villa,Tottenham,Y,GK,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,42.0,78.6,0.0,31.0,0.0,0.0,0.0,Match Report,33.0,42.0,78.6,1021.0,637.0,4.0,5.0,80.0,17.0,19.0,89.5,12.0,18.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,35.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,39.0,44.0,0.0,0.0,0.0,44.0,0.0,0.0,,0.0,,31.0,223.0,140.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Aston Villa,Emiliano-Martinez,7956236f
