Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY_x,Performance CrdR_x,Performance Touches,Performance Tkl,Performance Int_x,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries_x,Carries PrgC_x,Take-Ons Att_x,Take-Ons Succ_x,Report,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att_y,Take-Ons Succ_y,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries_y,Carries TotDist,Carries PrgDist,Carries PrgC_y,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance CrdY_y,Performance CrdR_y,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int_y,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,team,player_name,player_id
2025-08-17,Sun,Matchweek 1,Away,D 0–0,Crystal Palace,Chelsea,Y*,CB,90,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.0,1,0,16,20,80.0,1,11,0,0,0,Match Report,16,20,80.0,332,176,5,5,100.0,7,9,77.8,4,5,80.0,0,0.0,0.0,1,0,0,0,1,20,17,3,2,0,0,0,0,0,0,0,0,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,27,7,19,7,1,1,27,0,0,,0,,11,43,30,0,0,0,0,0,14,0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,1,66.7,Crystal Palace,Marc-Guehi,d0706b27
2025-08-24,Sun,Matchweek 2,Home,D 1–1,Crystal Palace,Nott'ham Forest,Y*,CB,90,0,0,0,0,1,0,0,0,67,1,1,0,0.1,0.1,0.0,0,0,49,61,80.3,6,46,0,0,0,Match Report,49,61,80.3,848,355,17,17,100.0,29,33,87.9,2,9,22.2,0,0.0,0.0,0,3,0,0,6,61,56,4,3,0,0,0,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,9,26,38,3,1,67,0,0,,0,,46,354,303,0,0,0,0,0,47,0,1,0,1,0,0,0,0,,0,0,0,0,1,2,3,0,0,0,0,0,1,0,0,1,0,0,0,0,3,2,1,66.7,Crystal Palace,Marc-Guehi,d0706b27
2025-08-31,Sun,Matchweek 3,Away,W 3–0,Crystal Palace,Aston Villa,Y*,CB,90,1,0,0,0,1,1,0,0,64,3,1,0,0.0,0.0,0.0,1,1,50,56,89.3,2,38,1,0,0,Match Report,50,56,89.3,953,366,13,16,81.3,27,28,96.4,7,8,87.5,0,0.0,0.0,0,6,0,0,2,56,53,3,1,0,0,0,0,0,0,0,0,50,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,64,8,28,35,2,1,64,0,0,,0,,38,120,63,1,0,0,0,1,45,1,3,3,3,0,0,1,1,100.0,0,0,0,0,1,4,5,0,0,0,0,0,1,0,0,1,3,0,0,0,5,1,0,100.0,Crystal Palace,Marc-Guehi,d0706b27
2025-08-17,Sun,Matchweek 1,Away,D 0–0,Crystal Palace,Chelsea,Y,GK,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,21,30,70.0,0,16,0,0,0,Match Report,21,30,70.0,741,587,6,6,100.0,6,7,85.7,9,17,52.9,0,0.0,0.0,1,1,0,0,0,30,16,14,1,0,0,0,0,0,0,0,0,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,32,29,32,0,0,0,32,0,0,,0,,16,66,33,0,0,0,0,0,11,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Crystal Palace,Dean-Henderson,e5a76dfe
2025-08-24,Sun,Matchweek 2,Home,D 1–1,Crystal Palace,Nott'ham Forest,Y,GK,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,29,41,70.7,0,23,0,0,0,Match Report,29,41,70.7,482,233,17,17,100.0,9,9,100.0,3,15,20.0,0,0.0,0.0,0,1,0,0,0,41,26,15,5,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,35,40,1,0,0,41,0,0,,0,,23,91,49,0,0,0,0,0,21,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Crystal Palace,Dean-Henderson,e5a76dfe
2025-08-31,Sun,Matchweek 3,Away,W 3–0,Crystal Palace,Aston Villa,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,21,33,63.6,0,21,0,0,0,Match Report,21,33,63.6,710,535,3,3,100.0,8,8,100.0,10,22,45.5,0,0.0,0.0,0,0,0,0,0,33,23,10,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,35,1,0,0,36,0,0,,0,,21,88,46,0,0,0,0,0,14,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Crystal Palace,Dean-Henderson,e5a76dfe
2025-08-17,Sun,Matchweek 1,Away,D 0–0,Crystal Palace,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,45,3,2,4,0.0,0.0,0.0,1,0,20,22,90.9,0,11,0,0,0,Match Report,20,22,90.9,371,110,9,11,81.8,9,9,100.0,2,2,100.0,0,0.0,0.0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,45,14,33,12,0,0,45,0,0,,0,,11,35,9,0,0,0,3,0,17,0,3,2,2,1,0,2,2,100.0,0,4,3,1,2,5,8,1,0,0,0,2,0,0,0,2,2,0,0,0,2,3,2,60.0,Crystal Palace,Maxence-Lacroix,277c49ed
2025-08-24,Sun,Matchweek 2,Home,D 1–1,Crystal Palace,Nott'ham Forest,Y,CB,90,0,0,0,0,1,1,1,0,59,3,1,1,0.1,0.1,0.0,0,0,34,43,79.1,1,28,0,1,1,Match Report,34,43,79.1,517,134,16,17,94.1,17,21,81.0,0,3,0.0,0,0.0,0.0,0,0,0,0,1,43,43,0,0,0,0,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,20,37,18,5,4,59,1,1,100.0,0,0.0,28,172,127,0,0,0,1,0,31,1,3,1,1,2,0,2,2,100.0,0,1,0,1,1,4,8,0,1,0,0,2,0,0,1,1,1,0,0,0,5,7,2,77.8,Crystal Palace,Maxence-Lacroix,277c49ed
2025-08-31,Sun,Matchweek 3,Away,W 3–0,Crystal Palace,Aston Villa,Y,CB,90,0,1,0,0,0,0,0,0,53,0,3,1,0.0,0.0,0.5,1,1,38,40,95.0,2,26,0,0,0,Match Report,38,40,95.0,825,228,9,9,100.0,24,26,92.3,5,5,100.0,1,0.5,0.1,1,3,0,0,2,40,39,1,1,0,0,0,0,0,0,0,0,38,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,53,6,23,29,1,1,53,0,0,,0,,26,68,35,0,0,0,0,1,33,0,0,0,0,0,0,0,0,,0,1,0,1,3,3,8,0,0,0,0,1,0,0,0,3,0,0,0,0,1,2,0,100.0,Crystal Palace,Maxence-Lacroix,277c49ed
2025-08-17,Sun,Matchweek 1,Away,D 0–0,Crystal Palace,Chelsea,Y,WB,90,0,0,0,0,0,0,0,0,55,5,0,1,0.0,0.0,0.0,1,0,25,42,59.5,1,14,0,0,0,Match Report,25,42,59.5,357,216,16,20,80.0,8,14,57.1,1,4,25.0,0,0.0,0.0,0,1,0,0,1,42,32,10,0,0,1,3,10,0,0,0,0,25,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,55,6,28,23,5,0,55,0,0,,0,,14,50,31,0,0,0,2,1,22,3,5,5,4,1,0,4,7,57.1,3,1,1,0,0,5,6,0,0,0,0,0,0,0,3,0,5,0,0,0,5,1,0,100.0,Crystal Palace,Tyrick-Mitchell,5cbd1eb0
2025-08-24,Sun,Matchweek 2,Home,D 1–1,Crystal Palace,Nott'ham Forest,Y,LM,90,0,0,0,0,0,0,1,0,57,3,0,2,0.0,0.0,0.1,5,0,33,47,70.2,0,33,8,1,1,Match Report,33,47,70.2,503,167,17,18,94.4,12,17,70.6,2,8,25.0,0,0.1,0.1,2,1,1,1,0,47,39,8,0,0,0,5,8,0,0,0,0,33,0,1,5,4,0,1,0,0,0,0,0,0,0,0,0,0,57,2,15,21,23,4,57,1,1,100.0,0,0.0,33,251,149,8,6,0,2,0,31,9,3,1,1,0,2,1,2,50.0,1,2,0,2,0,3,2,0,1,0,0,0,0,0,5,0,1,0,0,0,5,0,1,0.0,Crystal Palace,Tyrick-Mitchell,5cbd1eb0
2025-08-31,Sun,Matchweek 3,Away,W 3–0,Crystal Palace,Aston Villa,Y,WB,90,0,0,0,0,0,0,0,0,61,6,1,1,0.0,0.0,0.0,1,0,33,46,71.7,2,23,3,1,0,Match Report,33,46,71.7,502,124,18,20,90.0,11,14,78.6,2,5,40.0,0,0.0,0.0,1,1,0,0,2,46,41,4,0,0,0,6,4,0,0,0,0,33,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,61,4,18,24,19,2,61,1,0,0.0,1,100.0,23,174,92,3,2,0,0,1,41,7,6,3,6,0,0,3,3,100.0,0,1,0,1,1,7,4,0,0,0,0,0,0,0,6,1,3,0,0,0,3,0,1,0.0,Crystal Palace,Tyrick-Mitchell,5cbd1eb0
2025-08-17,Sun,Matchweek 1,Away,D 0–0,Crystal Palace,Chelsea,Y,WB,90,0,0,0,0,1,0,1,0,36,2,2,0,0.0,0.0,0.0,1,0,16,26,61.5,1,14,2,2,1,Match Report,16,26,61.5,315,136,4,7,57.1,11,13,84.6,1,4,25.0,0,0.0,0.0,0,0,0,0,1,26,20,6,1,0,0,2,5,0,0,0,0,16,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,36,3,12,17,8,2,36,2,1,50.0,1,50.0,14,74,36,2,1,0,0,0,14,3,2,0,1,1,0,2,2,100.0,0,0,0,0,2,4,4,0,1,0,0,2,2,0,2,2,0,0,0,0,2,2,1,66.7,Crystal Palace,Daniel-Munoz,778ef829
2025-08-24,Sun,Matchweek 2,Home,D 1–1,Crystal Palace,Nott'ham Forest,Y,RM,90,0,1,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.6,1,1,26,34,76.5,4,21,2,1,0,Match Report,26,34,76.5,521,194,14,16,87.5,6,9,66.7,6,7,85.7,1,0.6,0.3,1,0,2,2,4,34,31,3,0,0,0,4,3,0,0,0,0,26,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,42,3,16,12,14,1,42,1,0,0.0,1,100.0,21,104,55,2,2,0,1,0,24,5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,0,0,0,1,1,0,4,0,0,0,0,0,5,1,1,50.0,Crystal Palace,Daniel-Munoz,778ef829
2025-08-31,Sun,Matchweek 3,Away,W 3–0,Crystal Palace,Aston Villa,Y,"WB,AM",90,0,0,0,0,0,0,0,0,56,6,1,0,0.0,0.0,0.9,1,0,31,40,77.5,1,27,0,0,0,Match Report,31,40,77.5,463,177,17,20,85.0,12,14,85.7,1,2,50.0,0,0.9,0.5,1,2,0,0,1,40,37,2,0,0,0,3,2,0,0,0,0,31,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,56,1,21,22,14,3,56,0,0,,0,,27,128,58,0,0,0,2,1,32,6,6,5,4,2,0,2,2,100.0,0,0,0,0,1,7,7,0,0,0,0,2,0,0,3,1,5,0,0,0,8,1,2,33.3,Crystal Palace,Daniel-Munoz,778ef829
2025-08-17,Sun,Matchweek 1,Away,D 0–0,Crystal Palace,Chelsea,Y,CB,90,0,0,0,0,1,0,0,0,32,2,1,2,0.1,0.1,0.0,1,0,19,21,90.5,0,15,0,0,0,Match Report,19,21,90.5,361,138,5,5,100.0,13,13,100.0,1,2,50.0,0,0.0,0.0,0,0,0,0,0,21,19,2,1,0,0,0,1,0,0,0,0,19,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,32,6,20,9,3,1,32,0,0,,0,,15,45,5,0,0,0,0,0,17,0,2,2,1,0,1,2,2,100.0,0,2,2,0,1,3,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,100.0,Crystal Palace,Chris-Richards,0a3d6d2b
2025-08-24,Sun,Matchweek 2,Home,D 1–1,Crystal Palace,Nott'ham Forest,Y,CB,90,0,0,0,0,0,0,0,0,53,1,2,2,0.0,0.0,0.0,1,0,32,43,74.4,3,27,0,0,0,Match Report,32,43,74.4,652,243,11,14,78.6,17,21,81.0,4,7,57.1,0,0.0,0.0,0,2,0,0,3,43,40,3,0,0,2,0,3,0,0,0,0,32,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,53,7,26,22,5,0,53,0,0,,0,,27,202,134,0,1,0,0,0,27,0,1,1,1,0,0,1,1,100.0,0,2,1,1,2,3,4,0,0,0,0,1,0,0,0,2,1,0,0,0,2,3,1,75.0,Crystal Palace,Chris-Richards,0a3d6d2b
2025-08-31,Sun,Matchweek 3,Away,W 3–0,Crystal Palace,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,51,4,0,2,0.0,0.0,0.0,0,0,28,34,82.4,3,15,0,0,0,Match Report,28,34,82.4,502,156,9,11,81.8,19,21,90.5,0,2,0.0,0,0.0,0.0,0,1,0,0,3,34,33,1,0,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,11,18,31,2,0,51,0,0,,0,,15,45,16,0,0,0,0,0,30,0,4,2,1,3,0,1,1,100.0,0,2,1,1,0,4,8,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,100.0,Crystal Palace,Chris-Richards,0a3d6d2b
2025-08-17,Sun,Matchweek 1,Away,D 0–0,Crystal Palace,Chelsea,Y,AM,90,0,0,0,0,0,0,0,0,29,0,0,2,0.0,0.0,0.0,4,0,12,15,80.0,3,15,1,2,0,Match Report,12,15,80.0,190,36,4,4,100.0,7,8,87.5,0,2,0.0,0,0.0,0.0,1,1,0,0,3,15,15,0,0,1,0,0,0,0,0,0,0,12,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,29,6,9,13,7,0,29,2,0,0.0,0,0.0,15,107,52,1,4,0,5,4,20,2,0,0,0,0,0,0,2,0.0,2,2,1,1,0,0,3,0,0,0,0,2,3,0,0,0,0,0,0,0,3,0,2,0.0,Crystal Palace,Ismaila-Sarr,bfdb33aa
2025-08-24,Sun,Matchweek 2,Home,D 1–1,Crystal Palace,Nott'ham Forest,Y,RW,90,1,0,0,0,1,1,0,0,27,2,0,0,0.6,0.6,0.0,1,0,10,18,55.6,3,16,3,1,0,Match Report,10,18,55.6,146,67,8,11,72.7,1,2,50.0,1,2,50.0,0,0.0,0.0,0,2,2,0,3,18,18,0,0,0,0,3,0,0,0,0,0,10,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,27,1,4,10,15,1,27,1,0,0.0,1,100.0,16,142,91,3,2,0,2,3,21,8,2,0,2,0,0,1,1,100.0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,3,0,0,0,0,0,2,0,3,0.0,Crystal Palace,Ismaila-Sarr,bfdb33aa
2025-08-31,Sun,Matchweek 3,Away,W 3–0,Crystal Palace,Aston Villa,Y,"AM,FW",90,1,0,0,0,2,1,1,0,31,1,1,0,1.4,1.4,0.0,0,0,17,22,77.3,2,11,0,2,1,Match Report,17,22,77.3,284,109,9,11,81.8,7,9,77.8,1,1,100.0,0,0.0,0.0,0,1,0,0,2,22,22,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,7,17,8,2,31,2,1,50.0,1,50.0,11,48,34,0,0,0,1,3,23,2,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,2,0,1,0,0,1,0,1,0,1,0,0,0,0,5,2,0,100.0,Crystal Palace,Ismaila-Sarr,bfdb33aa
