Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY_x,Performance CrdR_x,Performance Touches,Performance Tkl,Performance Int_x,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries_x,Carries PrgC_x,Take-Ons Att_x,Take-Ons Succ_x,Report,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att_y,Take-Ons Succ_y,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries_y,Carries TotDist,Carries PrgDist,Carries PrgC_y,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance CrdY_y,Performance CrdR_y,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int_y,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,team,player_name,player_id
2025-08-17,Sun,Matchweek 1,Home,W 3–1,Nott'ham Forest,Brentford,Y,RB,90,0,0,0,0,0,0,0,0,68,3,2,1,0.0,0.0,0.0,0,0,36,48,75.0,3,24,2,2,1,Match Report,36,48,75.0,553,224,19,20,95.0,16,21,76.2,1,6,16.7,0,0.0,0.0,1,3,2,1,3,48,35,13,2,0,1,4,11,0,0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,5,26,20,23,1,68,2,1,50.0,1,50.0,24,139,85,2,2,1,0,4,30,2,3,2,1,2,0,2,2,100.0,0,1,0,1,2,5,8,0,0,0,0,2,1,0,4,2,2,0,0,0,8,3,2,60.0,Nottingham Forest,Ola-Aina,246d153b
2025-08-24,Sun,Matchweek 2,Away,D 1–1,Nott'ham Forest,Crystal Palace,Y,RB,90,0,0,0,0,0,0,1,0,66,1,2,0,0.0,0.0,0.0,0,0,40,52,76.9,2,26,1,4,1,Match Report,40,52,76.9,767,366,17,17,100.0,17,22,77.3,6,11,54.5,0,0.0,0.0,0,2,0,0,2,52,44,8,2,0,0,2,6,0,0,0,0,40,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,6,30,28,9,0,66,4,1,25.0,3,75.0,26,93,50,1,1,0,0,1,37,1,1,0,0,0,1,0,0,,0,0,0,0,2,3,4,0,1,0,0,2,2,0,2,2,0,0,0,0,10,1,0,100.0,Nottingham Forest,Ola-Aina,246d153b
2025-08-31,Sun,Matchweek 3,Home,L 0–3,Nott'ham Forest,West Ham,Y,RB,90,0,0,0,0,2,0,0,0,69,2,1,0,0.0,0.0,0.1,1,0,49,57,86.0,6,32,2,5,1,Match Report,49,57,86.0,841,372,22,22,100.0,23,27,85.2,2,4,50.0,0,0.1,0.3,1,8,0,0,6,57,52,5,1,0,0,7,3,1,0,0,0,49,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,69,2,14,27,30,2,69,5,1,20.0,4,80.0,32,130,77,2,1,0,0,0,41,5,2,1,1,0,1,2,2,100.0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,7,1,1,0,0,0,2,0,0,,Nottingham Forest,Ola-Aina,246d153b
2025-08-17,Sun,Matchweek 1,Home,W 3–1,Nott'ham Forest,Brentford,Y,"DM,AM",90,0,1,0,0,3,1,0,0,91,2,1,1,0.4,0.4,0.9,4,3,66,82,80.5,11,40,3,2,0,Match Report,66,82,80.5,1245,304,24,28,85.7,33,35,94.3,8,16,50.0,1,0.9,0.3,1,11,3,0,11,82,71,11,5,1,2,6,0,4,3,0,0,66,0,0,4,4,0,0,0,0,0,3,3,0,0,0,0,0,91,1,17,41,35,4,91,2,0,0.0,2,100.0,40,236,134,3,2,0,0,0,56,2,2,1,1,0,1,0,3,0.0,3,1,0,1,1,3,0,0,0,0,0,0,2,1,6,1,1,0,0,0,8,3,3,50.0,Nottingham Forest,Elliot-Anderson,de31038e
2025-08-24,Sun,Matchweek 2,Away,D 1–1,Nott'ham Forest,Crystal Palace,Y,DM,90,0,0,0,0,0,0,0,0,93,3,0,2,0.0,0.0,0.0,4,0,69,80,86.3,11,58,2,5,2,Match Report,69,80,86.3,1232,268,29,31,93.5,36,39,92.3,4,8,50.0,0,0.0,0.0,1,10,2,1,11,80,74,6,1,0,0,5,0,3,2,1,0,69,0,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,93,0,11,67,17,0,93,5,2,40.0,3,60.0,58,332,199,2,2,0,3,2,68,5,3,1,1,1,1,2,2,100.0,0,2,0,2,0,3,1,0,0,0,0,2,0,0,5,0,1,0,0,0,7,1,0,100.0,Nottingham Forest,Elliot-Anderson,de31038e
2025-08-31,Sun,Matchweek 3,Home,L 0–3,Nott'ham Forest,West Ham,Y,"DM,CM",90,0,0,0,0,1,0,0,0,112,7,0,1,0.0,0.0,0.2,7,0,84,99,84.8,10,63,1,2,1,Match Report,84,99,84.8,1468,434,36,37,97.3,43,47,91.5,4,12,33.3,0,0.2,0.1,3,8,0,0,10,99,87,12,1,0,0,9,2,8,5,3,0,84,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,112,0,13,65,34,4,112,2,1,50.0,0,0.0,63,328,206,1,0,1,0,5,83,3,7,6,1,3,3,4,7,57.1,3,1,0,1,0,7,2,0,0,0,0,0,2,0,9,0,6,0,0,0,3,3,2,60.0,Nottingham Forest,Elliot-Anderson,de31038e
2025-08-17,Sun,Matchweek 1,Home,W 3–1,Nott'ham Forest,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,35,1,2,1,0.0,0.0,0.0,0,0,20,27,74.1,0,13,0,0,0,Match Report,20,27,74.1,436,269,6,6,100.0,11,12,91.7,3,8,37.5,0,0.0,0.0,0,2,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,6,23,12,0,0,35,0,0,,0,,13,87,66,0,0,0,0,0,21,0,1,0,1,0,0,0,0,,0,1,1,0,2,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,50.0,Nottingham Forest,Nikola-Milenkovic,bee704fc
2025-08-24,Sun,Matchweek 2,Away,D 1–1,Nott'ham Forest,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,66,1,0,1,0.0,0.0,0.0,1,0,53,57,93.0,0,33,0,0,0,Match Report,53,57,93.0,1024,304,18,19,94.7,32,33,97.0,3,5,60.0,0,0.0,0.0,0,2,0,0,0,57,56,1,1,0,0,0,0,0,0,0,0,53,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,41,24,1,1,66,0,0,,0,,33,171,114,0,0,0,0,0,45,0,1,1,0,1,0,0,0,,0,1,0,1,0,1,6,0,0,0,0,0,1,0,0,0,1,0,0,0,2,3,3,50.0,Nottingham Forest,Nikola-Milenkovic,bee704fc
2025-08-31,Sun,Matchweek 3,Home,L 0–3,Nott'ham Forest,West Ham,Y,CB,90,0,0,0,0,1,0,0,0,63,0,0,0,0.1,0.1,0.0,0,0,50,56,89.3,2,30,0,0,0,Match Report,50,56,89.3,851,372,22,24,91.7,26,28,92.9,2,3,66.7,0,0.0,0.0,0,3,0,0,2,56,56,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,6,20,39,4,2,63,0,0,,0,,30,133,106,0,0,0,0,0,47,0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,100.0,Nottingham Forest,Nikola-Milenkovic,bee704fc
2025-08-17,Sun,Matchweek 1,Home,W 3–1,Nott'ham Forest,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,57,0,1,1,0.0,0.0,0.0,1,0,40,50,80.0,4,28,0,1,1,Match Report,40,50,80.0,918,378,10,10,100.0,25,28,89.3,5,12,41.7,0,0.0,0.0,0,8,0,0,4,50,46,4,3,0,3,0,0,0,0,0,0,40,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,57,6,24,32,1,0,57,1,1,100.0,0,0.0,28,131,83,0,0,0,0,1,36,0,0,0,0,0,0,0,0,,0,1,0,1,1,1,4,0,0,0,0,0,2,0,0,1,0,0,0,0,6,2,0,100.0,Nottingham Forest,Murillo,1704b0b8
