Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY_x,Performance CrdR_x,Performance Touches,Performance Tkl,Performance Int_x,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries_x,Carries PrgC_x,Take-Ons Att_x,Take-Ons Succ_x,Report,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att_y,Take-Ons Succ_y,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries_y,Carries TotDist,Carries PrgDist,Carries PrgC_y,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance CrdY_y,Performance CrdR_y,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int_y,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,team,player_name,player_id
2025-08-16,Sat,Matchweek 1,Home,W 3–0,Sunderland,West Ham,Y,RB,90,0,0,0,0,0,0,0,0,58,2,1,0,0.0,0.0,0.1,2,0,32,51,62.7,3,19,1,1,1,Match Report,32,51,62.7,478,283,23,27,85.2,4,9,44.4,4,10,40.0,0,0.1,0.1,1,6,1,0,3,51,39,12,1,0,0,6,8,3,2,0,1,32,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,58,3,22,21,15,1,58,1,1,100.0,0,0.0,19,112,72,1,0,0,0,0,27,1,2,1,1,1,0,1,2,50.0,1,0,0,0,1,3,3,0,0,0,0,1,1,0,6,1,1,0,0,0,3,4,3,57.1,Sunderland,Trai-Hume,4fa3a3a4
2025-08-23,Sat,Matchweek 2,Away,L 0–2,Sunderland,Burnley,Y,RB,90,0,0,0,0,1,0,0,0,79,2,1,0,0.0,0.0,0.0,2,0,54,72,75.0,6,41,1,1,0,Match Report,54,72,75.0,762,241,31,33,93.9,22,32,68.8,1,3,33.3,0,0.0,0.0,1,4,0,0,6,72,61,11,0,0,1,4,10,1,0,0,0,54,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,79,0,15,42,22,0,79,1,0,0.0,1,100.0,41,188,126,1,3,0,0,1,46,8,2,2,1,0,1,1,1,100.0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,4,1,2,0,0,0,3,3,1,75.0,Sunderland,Trai-Hume,4fa3a3a4
2025-08-30,Sat,Matchweek 3,Home,W 2–1,Sunderland,Brentford,Y,RB,90,0,0,0,0,1,0,0,0,53,4,1,1,0.0,0.0,0.0,2,0,24,40,60.0,3,20,1,0,0,Match Report,24,40,60.0,318,93,16,20,80.0,8,11,72.7,0,8,0.0,0,0.0,0.0,0,2,0,0,3,40,31,9,2,0,0,5,5,2,2,0,0,24,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,53,2,9,25,19,1,53,0,0,,0,,20,66,25,1,1,0,1,0,23,4,4,2,1,2,1,2,2,100.0,0,1,0,1,1,5,4,0,0,0,0,0,0,0,5,1,2,0,0,0,2,3,4,42.9,Sunderland,Trai-Hume,4fa3a3a4
2025-09-13,Sat,Matchweek 4,Away,D 0–0,Sunderland,Crystal Palace,Y,RB,90,0,0,0,0,0,0,0,0,69,3,1,2,0.0,0.0,0.0,3,0,37,56,66.1,5,30,0,3,1,Match Report,37,56,66.1,644,271,17,20,85.0,18,24,75.0,2,9,22.2,0,0.0,0.0,2,4,3,1,5,56,46,10,0,0,0,3,8,2,1,0,0,37,0,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,69,2,17,44,10,0,69,3,1,33.3,2,66.7,30,87,51,0,0,0,0,0,40,2,3,2,1,2,0,2,2,100.0,0,2,0,2,1,4,3,0,0,0,0,0,0,0,3,1,2,0,0,0,2,3,0,100.0,Sunderland,Trai-Hume,4fa3a3a4
2025-08-16,Sat,Matchweek 1,Home,W 3–0,Sunderland,West Ham,Y,LB,90,0,0,0,0,0,0,0,0,59,2,2,1,0.0,0.0,0.0,1,1,38,51,74.5,4,31,2,0,0,Match Report,38,51,74.5,538,130,24,26,92.3,11,15,73.3,2,7,28.6,0,0.0,0.0,0,5,0,0,4,51,42,9,0,0,0,0,9,0,0,0,0,38,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,59,4,19,27,13,0,59,0,0,,0,,31,188,101,2,3,0,0,1,39,2,2,2,2,0,0,2,2,100.0,0,1,0,1,2,4,5,0,0,0,0,1,1,0,0,2,2,0,0,0,3,0,0,,Sunderland,Reinildo-Mandava,c20bdcd7
2025-08-23,Sat,Matchweek 2,Away,L 0–2,Sunderland,Burnley,Y,LB,90,0,0,0,0,0,0,0,0,95,5,1,0,0.0,0.0,0.0,0,0,68,75,90.7,6,60,3,0,0,Match Report,68,75,90.7,1077,280,33,34,97.1,30,32,93.8,4,6,66.7,0,0.0,0.0,0,8,1,1,6,75,71,4,0,0,0,2,4,0,0,0,0,68,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,4,22,59,15,0,95,0,0,,0,,60,276,164,3,3,0,3,1,61,2,5,2,3,2,0,4,4,100.0,0,0,0,0,1,6,7,0,0,0,0,0,2,0,2,1,2,0,0,0,3,3,2,60.0,Sunderland,Reinildo-Mandava,c20bdcd7
2025-08-30,Sat,Matchweek 3,Home,W 2–1,Sunderland,Brentford,Y,LB,90,0,0,0,0,1,0,1,0,57,3,2,0,0.0,0.0,0.0,0,0,33,43,76.7,4,26,2,1,0,Match Report,33,43,76.7,508,141,17,21,81.0,15,16,93.8,1,3,33.3,0,0.0,0.0,0,2,1,0,4,43,35,8,0,0,0,3,8,0,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2,17,25,15,2,57,1,0,0.0,1,100.0,26,136,57,2,2,1,1,0,27,3,3,1,2,0,1,2,3,66.7,1,0,0,0,2,5,5,0,1,0,0,1,4,0,3,2,1,0,1,0,3,3,1,75.0,Sunderland,Reinildo-Mandava,c20bdcd7
2025-09-13,Sat,Matchweek 4,Away,D 0–0,Sunderland,Crystal Palace,Y,LB,90,0,0,0,0,0,0,0,0,58,1,0,1,0.0,0.0,0.0,1,0,38,47,80.9,6,28,4,3,2,Match Report,38,47,80.9,682,202,15,16,93.8,22,25,88.0,1,5,20.0,0,0.0,0.0,0,5,0,0,6,47,42,4,0,0,0,1,4,0,0,0,0,38,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,58,4,18,37,4,0,58,3,2,66.7,1,33.3,28,147,93,4,2,0,0,0,34,1,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,5,0,0,0,0,0,1,0,1,0,1,0,0,0,4,3,4,42.9,Sunderland,Reinildo-Mandava,c20bdcd7
2025-08-16,Sat,Matchweek 1,Home,W 3–0,Sunderland,West Ham,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,13,26,50.0,0,18,0,0,0,Match Report,13,26,50.0,378,258,1,1,100.0,8,8,100.0,4,17,23.5,0,0.0,0.0,0,0,0,0,0,26,19,7,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,23,29,0,0,0,29,0,0,,0,,18,113,67,0,0,0,0,0,9,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,100.0,Sunderland,Robin-Roefs,349fa918
2025-08-23,Sat,Matchweek 2,Away,L 0–2,Sunderland,Burnley,Y,GK,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,20,28,71.4,0,22,0,0,0,Match Report,20,28,71.4,523,379,3,3,100.0,10,11,90.9,7,14,50.0,0,0.0,0.0,0,2,0,0,0,28,24,4,1,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,19,29,0,0,0,29,0,0,,0,,22,90,55,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Sunderland,Robin-Roefs,349fa918
