Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY_x,Performance CrdR_x,Performance Touches,Performance Tkl,Performance Int_x,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries_x,Carries PrgC_x,Take-Ons Att_x,Take-Ons Succ_x,Report,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,SCA Types SCA,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA Types GCA,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att_y,Take-Ons Succ_y,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries_y,Carries TotDist,Carries PrgDist,Carries PrgC_y,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Performance CrdY_y,Performance CrdR_y,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int_y,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,team,player_name,player_id
2025-08-16,Sat,Matchweek 1,Home,W 3–0,Tottenham,Burnley,Y*,CB,90,0,0,0,0,0,0,0,0,94,0,0,2,0.0,0.0,0.0,0,0,78,88,88.6,3,67,0,0,0,Match Report,78,88,88.6,1437,544,28,30,93.3,44,48,91.7,5,8,62.5,0,0.0,0.0,0,4,0,0,3,88,83,5,3,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,11,55,36,3,3,94,0,0,,0,,67,264,133,0,0,0,1,0,71,0,0,0,0,0,0,0,0,,0,2,2,0,0,0,3,1,0,0,0,3,1,0,0,0,0,0,0,0,3,4,2,66.7,Tottenham Hotspur,Cristian-Romero,a3d94a58
2025-08-23,Sat,Matchweek 2,Away,W 2–0,Tottenham,Manchester City,Y*,CB,90,0,0,0,0,0,0,1,0,51,3,3,2,0.0,0.0,0.0,1,0,33,40,82.5,0,18,0,0,0,Match Report,33,40,82.5,687,227,7,9,77.8,24,25,96.0,2,5,40.0,0,0.0,0.0,0,0,0,0,0,40,38,2,1,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,51,13,30,19,2,1,51,0,0,,0,,18,76,35,0,0,0,1,0,28,0,3,2,1,0,2,0,0,,0,2,1,1,3,6,3,0,1,0,0,1,1,0,0,3,2,0,0,0,6,0,0,,Tottenham Hotspur,Cristian-Romero,a3d94a58
2025-08-30,Sat,Matchweek 3,Home,L 0–1,Tottenham,Bournemouth,Y*,CB,90,0,0,0,0,0,0,0,0,61,2,1,1,0.0,0.0,0.0,1,0,46,50,92.0,5,25,1,1,1,Match Report,46,50,92.0,965,349,11,11,100.0,31,32,96.9,4,7,57.1,0,0.0,0.0,0,4,0,0,5,50,44,6,5,0,1,0,0,0,0,0,0,46,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,61,8,36,25,1,0,61,1,1,100.0,0,0.0,25,154,88,1,1,0,0,0,32,0,2,0,2,0,0,2,2,100.0,0,1,1,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,1,66.7,Tottenham Hotspur,Cristian-Romero,a3d94a58
2025-08-16,Sat,Matchweek 1,Home,W 3–0,Tottenham,Burnley,Y,LB,90,0,0,0,0,2,1,0,0,61,0,0,0,0.2,0.2,0.0,2,0,51,56,91.1,7,44,4,1,1,Match Report,51,56,91.1,839,174,25,25,100.0,22,23,95.7,3,6,50.0,0,0.0,0.1,0,8,0,0,7,56,53,3,0,0,0,2,3,0,0,0,0,51,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,61,4,13,28,21,2,61,1,1,100.0,0,0.0,44,373,257,4,7,0,0,0,51,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,1,50.0,Tottenham Hotspur,Djed-Spence,9bc9a519
2025-08-23,Sat,Matchweek 2,Away,W 2–0,Tottenham,Manchester City,Y,LB,90,0,0,0,0,0,0,0,0,60,2,0,0,0.0,0.0,0.0,1,0,32,45,71.1,6,22,3,4,0,Match Report,32,45,71.1,662,195,13,17,76.5,14,19,73.7,5,8,62.5,0,0.0,0.0,0,3,1,0,6,45,35,10,0,0,2,0,10,0,0,0,0,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,60,6,17,32,12,1,60,4,0,0.0,3,75.0,22,209,143,3,2,1,1,2,31,4,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,1,50.0,Tottenham Hotspur,Djed-Spence,9bc9a519
2025-08-30,Sat,Matchweek 3,Home,L 0–1,Tottenham,Bournemouth,Y,"LB,RB",90,0,0,0,0,0,0,1,0,70,0,0,3,0.0,0.0,0.0,1,0,49,60,81.7,3,33,3,4,1,Match Report,49,60,81.7,941,284,14,14,100.0,31,37,83.8,4,9,44.4,0,0.0,0.0,1,3,0,0,3,60,47,13,1,0,0,4,12,0,0,0,0,49,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,70,2,18,33,19,0,70,4,1,25.0,3,75.0,33,207,117,3,3,0,1,1,44,5,0,0,0,0,0,0,2,0.0,2,3,1,2,0,0,3,0,1,0,0,2,0,0,4,0,0,0,0,0,5,1,1,50.0,Tottenham Hotspur,Djed-Spence,9bc9a519
2025-08-16,Sat,Matchweek 1,Home,W 3–0,Tottenham,Burnley,Y,CB,90,0,0,0,0,2,0,0,0,82,1,1,0,0.6,0.6,0.0,0,0,63,68,92.6,0,55,1,2,0,Match Report,63,68,92.6,1283,422,14,15,93.3,46,47,97.9,3,6,50.0,0,0.0,0.0,0,0,0,0,0,68,65,3,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,10,52,25,6,2,82,2,0,0.0,1,50.0,55,289,81,1,2,0,1,0,60,0,1,1,1,0,0,0,0,,0,0,0,0,1,2,4,0,0,0,0,0,1,0,0,1,1,0,0,0,4,3,2,60.0,Tottenham Hotspur,Micky-van-de-Ven,8fe2a392
2025-08-23,Sat,Matchweek 2,Away,W 2–0,Tottenham,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,47,1,0,1,0.0,0.0,0.0,0,0,39,42,92.9,0,24,0,0,0,Match Report,39,42,92.9,801,241,8,8,100.0,28,28,100.0,2,3,66.7,0,0.0,0.0,0,1,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,10,31,15,1,0,47,0,0,,0,,24,121,54,0,0,0,1,0,34,0,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,3,1,1,50.0,Tottenham Hotspur,Micky-van-de-Ven,8fe2a392
2025-08-30,Sat,Matchweek 3,Home,L 0–1,Tottenham,Bournemouth,Y,CB,90,0,0,0,0,0,0,1,0,102,0,2,4,0.0,0.0,0.0,2,0,79,89,88.8,5,41,3,1,0,Match Report,79,89,88.8,1560,445,27,27,100.0,48,51,94.1,4,11,36.4,0,0.0,0.0,0,4,0,0,5,89,84,5,1,0,0,0,0,0,0,0,0,79,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,102,13,57,43,2,0,102,1,0,0.0,1,100.0,41,249,153,3,0,0,0,0,69,0,0,0,0,0,0,0,0,,0,4,1,3,2,2,6,0,1,0,0,1,1,0,0,2,0,0,0,0,6,2,1,66.7,Tottenham Hotspur,Micky-van-de-Ven,8fe2a392
2025-08-16,Sat,Matchweek 1,Home,W 3–0,Tottenham,Burnley,Y,GK,90,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,1,0,47,50,94.0,0,36,0,0,0,Match Report,47,50,94.0,1060,564,7,7,100.0,32,32,100.0,8,11,72.7,0,0.0,0.0,0,0,0,0,0,50,41,9,5,0,0,0,0,0,0,0,0,47,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,51,41,51,0,0,0,51,0,0,,0,,36,147,68,0,0,0,0,0,33,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Tottenham Hotspur,Guglielmo-Vicario,77d6fd4d
